open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
54.406,54.454,54.97,54,36255.52893,53.17217,0.61884,52.8875,0.41748,0.048,0.048,0,0
54.453,54.519,54.848,54.215,8329.63689,53.6985,0.80028,52.92537,0.50803,0.066,0.065,0,0
54.51,54.09,54.519,54.03,15599.66634,54.21883,0.5619,52.97498,0.59581,-0.42,-0.429,0,0
54.089,54.375,54.6,53.876,24423.65235,54.40533,0.15997,53.02341,0.65618,0.286,0.285,0,0
54.505,54.41,54.638,54.109,18509.07512,54.33933,0.20022,53.06904,0.70224,-0.095,0.035,0,0
54.4,54.379,54.502,54.28,6103.367634,54.32983,0.19346,53.13193,0.75715,-0.021,-0.031,0,0
54.375,54.666,54.739,54.201,14525.69898,54.35967,0.14082,53.19407,0.7984,0.291,0.287,0,0
54.417,55.7,55.795,54.367,45103.96611,54.45583,0.11335,53.25604,0.84393,1.283,1.034,0,0
55.71,56.47,56.89,55.38,22929.62113,54.65617,0.52314,53.3473,0.92829,0.76,0.77,0,0
56.48,56.163,56.61,55.884,13977.22261,55.223,0.86008,53.49326,1.07866,-0.317,-0.307,0,0
56.163,57.1,57.1,56.104,15360.38336,55.82333,0.77079,53.64941,1.21199,0.937,0.937,0,0
57.1,56.51,57.571,56.22,50547.85312,56.34767,0.46332,53.82509,1.33798,-0.59,-0.59,0,0
56.51,56.824,57.4,56.323,17218.05392,56.586,0.42503,54.02176,1.42934,0.314,0.314,0,0
56.883,56.419,56.985,56.1,11512.07904,56.70117,0.37308,54.20561,1.48573,-0.464,-0.405,0,0
56.398,56.237,56.612,56.06,9789.445026,56.70767,0.26821,54.38924,1.51631,-0.161,-0.182,0,0
56.263,56.16,56.565,55.85,14071.15289,56.54517,0.25521,54.5652,1.4945,-0.103,-0.077,0,0
56.145,56.44,56.509,55.877,14579.47393,56.39333,0.25936,54.72698,1.4609,0.295,0.28,0,0
